Año;Mes;Semana;Fechas;Cacao Grado 3;Cacao Grado 2;Cacao Grado 1
2025;ENERO;1;del 02 de enero al 08 de enero del 2025;466.99;480.28;489.61
2025;ENERO;2;del 09 de enero al 15 de enero del 2025;461.77;475.62;484.86
2025;ENERO;3;del 16 de enero al 22 de enero del 2025;437.01;450.12;458.86
2025;ENERO;4;del 23 de enero al 29 de enero del 2025;444.26;457.59;466.48
2025;ENERO;5;del 30 de enero al 05 de febrero del 2025;443.21;456.50;465.37
2025;FEBRERO;6;del 06 de febrero al 12 de febrero del 2025;425.74;438.52;447.03
2025;FEBRERO;7;del 13 de febrero al 19 de febrero del 2025;388.78;400.44;408.21
2025;FEBRERO;8;del 20 de febrero al 26 de febrero del 2025;388.02;399.66;407.42
2025;FEBRERO;9;27 de febrero al 05 de marzo del 2025;342.01;352.28;359.12
2025;MARZO;10;06 al 12 de marzo del 2025;330.51;340.43;347.04
2025;MARZO;11;13 al 19 de marzo del 2025;329.4;339.28;345.87
2025;MARZO;12;20 al 26 de marzo del 2025;328.85;338.72;345.3
2025;MARZO;13;27 de marzo al 02 de abril del 2025;336.39;346.48;353.21
2025;ABRIL;14;03 al 09 de abril del 2025;350.01;360.51;367.51
2025;ABRIL;15;10 al 16 de abril del 2025;372.48;383.65;391.10
2025;ABRIL;16;17 al 23 de abril del 2025;337.74;347.88;354.63
2025;ABRIL;17;24 al 30 de abril del 2025 ;351.75;362.30;372.76
2025;MAYO;18;01 al 07 de mayo del 2025;361.91;372.76;380.00
2025;MAYO;19;08 al 14 de mayo del 2025;357.73;368.46;375.62
2025;MAYO;20;15 al 21 de mayo del 2025;377.09;388.40;395.95
2025;MAYO;21;22 al 28 de mayo del 2025;400.74;412.76;420.77
2025;JUNIO;22;29 de mayo al 04 de junio del 2025;376.33;387.93;395.46
2025;JUNIO;23;05 al 11 de junio del 2025;361.88;372.74;379.98
2025;JUNIO;24;12 al 18 de junio de 2025;369.88;380.98;388.37
2025;JUNIO;25;19 al 25 de junio del 2025;344.53;354.86;361.75
2025;JUNIO;26;26 de junio al 02 de julio del 2025;317.17;326.68;333.03
2025;JULIO;27;03  al 09 de julio del 2025;316.18;325.67;331.99
2025;JULIO;28;10 al 16 de julio del 2025;295.17;304.03;309.93
2025;JULIO;29;17 al 23 de julio del 2025;288.26;296.91;302.68
2025;JULIO;30;24 al 30 de julio del 2025;276.41;284.7;290.23
2025;JULIO;31;31 de julio al 06 de agosto del 2025;298.87;307.83;313.81
2025;AGOSTO ;32;07 al 13 de agosto del 2025;279.59;287.98;293.57
2025;AGOSTO ;33;14 al 20 de agosto del 2025;294.36;303.19;309.07
2025;AGOSTO ;34;21 al 27 de agosto del 2025;305.95;315.12;321.24
2025;AGOSTO ;35;28 de agosto al 03 de septiembre del 2025;280.83;289.26;294.88
